date,temperature,temp_max,temp_min,precipitation,humidity,wind_speed,temp_roll7,temp_roll30,temp_roll_std7,temp_zscore_rolling
2025-03-28,20.77,25.37,16.92,0.0,60.69,5.92,18.41428571428571,17.920333333333335,2.27060826757094,0.9296064308344538
2025-03-29,17.84,19.81,16.63,0.0,68.82,4.04,18.807142857142853,18.014666666666667,1.7857091428496135,-0.5511189507100279
2025-03-30,19.24,22.56,16.22,0.0,57.03,2.74,19.177142857142858,18.13566666666667,1.5115302873324525,0.23322677650230514
2025-03-31,21.26,25.24,17.43,0.0,49.57,6.05,19.75,18.32,1.416309758962632,1.3309041691660433
2025-04-01,20.87,24.39,17.88,0.0,61.5,3.02,20.082857142857144,18.46966666666667,1.3571012524949007,1.2053578399704186
2025-04-02,19.79,24.09,16.47,0.0,62.9,4.68,20.177142857142858,18.57,1.3016619413362356,0.7414823788353054
2025-04-03,19.09,21.81,17.1,0.0,66.4,3.53,19.837142857142855,18.658,1.2156714781784548,0.3401236074162589
2025-04-04,17.75,19.68,16.45,0.0,71.75,3.49,19.405714285714286,18.677000000000003,1.3570907258156073,-0.4531038127772675
2025-04-05,18.9,22.04,16.11,0.0,62.03,3.01,19.557142857142857,18.723666666666666,1.2037402029466133,0.12025116201639759
2025-04-06,19.99,22.93,18.22,0.0,69.25,4.35,19.664285714285715,18.807666666666666,1.204185162157951,0.7053897306856542
2025-04-07,19.59,22.28,17.46,0.0,69.49,3.67,19.425714285714285,18.87666666666667,0.979895524071178,0.39214214393987135
2025-04-08,21.61,28.51,18.49,0.04,68.36,4.67,19.53142857142857,19.016666666666666,1.1809661097510085,1.549120090582913
2025-04-09,18.86,20.56,16.81,0.16,73.64,5.88,19.398571428571426,19.06533333333333,1.1992001302453419,-0.31823671797700265
2025-04-10,16.54,18.09,15.11,0.1,65.83,7.01,19.034285714285712,19.043000000000003,1.6215101720602225,-1.8321409571883633
2025-04-11,16.78,18.81,14.9,0.14,63.6,5.88,18.895714285714284,18.98966666666667,1.782964358802905,-1.686923662202485
2025-04-12,17.38,19.25,16.0,0.06,63.56,4.66,18.678571428571427,18.902,1.8726579023001486,-1.2996795906305016
2025-04-13,17.33,18.66,16.25,1.42,63.15,4.24,18.298571428571424,18.792333333333332,1.8316243116554327,-1.3224504235783252
2025-04-14,17.36,19.36,15.46,0.06,67.36,5.36,17.98,18.702666666666666,1.762186142267512,-1.345277989705318
2025-04-15,18.33,20.73,16.37,0.03,62.0,3.9,17.51142857142857,18.613333333333333,0.8206182338420202,-0.6909575602511907
2025-04-16,18.36,20.56,15.97,0.0,61.67,4.32,17.44,18.48933333333333,0.6959645584843998,-0.6681159207690286
2025-04-17,19.6,22.23,17.37,0.0,72.17,5.3,17.877142857142854,18.492666666666665,0.9508016667651965,0.20574736063138094
2025-04-18,19.88,22.29,17.84,0.0,74.58,5.02,18.319999999999997,18.553,1.0691897243549797,0.37351951263792765
2025-04-19,20.11,23.27,17.59,0.0,68.93,3.67,18.71,18.693,1.1629560037534643,0.5192527914814905
2025-04-20,20.01,23.3,18.04,0.0,71.96,3.52,19.092857142857145,18.845666666666666,1.0703848884972744,0.4229229213446905
2025-04-21,20.09,23.51,17.26,0.0,69.2,3.64,19.482857142857142,19.01233333333333,0.7959420893025285,0.4273837179367671
2025-04-22,22.66,26.59,19.83,0.0,64.48,3.29,20.101428571428574,19.212666666666667,1.283737104075574,2.0675286198196647
2025-04-23,21.55,23.81,19.46,0.0,71.37,5.7,20.557142857142857,19.355999999999998,1.1180297295643833,1.208040579942211
2025-04-24,19.31,20.51,18.0,0.0,79.39,3.94,20.51571428571429,19.381666666666668,1.1638421591555743,-0.2179485186065687
2025-04-25,19.55,22.59,17.04,0.0,74.02,4.06,20.46857142857143,19.395666666666667,1.2000059523659157,-0.15456784882476624
2025-04-26,19.51,21.45,18.22,0.0,69.66,3.38,20.382857142857144,19.330333333333332,1.2502628295108573,-0.30887574159291503
2025-04-27,19.31,21.48,17.88,0.0,70.95,3.49,20.282857142857146,19.28166666666667,1.3115476136444717,-0.5298923009292058
2025-04-28,18.84,21.05,17.41,0.0,71.73,2.87,20.104285714285716,19.314999999999998,1.422578142468089,-0.8658801173947716
2025-04-29,19.89,22.34,17.71,0.0,66.32,2.89,19.708571428571428,19.336666666666662,0.8718262168462164,-0.4510533620318398
2025-04-30,20.76,25.0,18.4,0.0,71.97,6.42,19.595714285714283,19.319999999999997,0.6035963646577222,-0.09974273745744705
2025-05-01,20.48,23.87,17.99,0.0,61.62,3.09,19.762857142857143,19.307,0.6696694280438437,-0.30110470940625933
2025-05-02,20.77,24.23,18.23,0.01,60.42,4.4,19.937142857142856,19.339666666666666,0.7579734886677856,-0.22197282397498375
2025-05-03,19.66,21.46,18.24,0.06,70.22,4.13,19.958571428571428,19.358666666666668,0.7459094800177527,-0.897318633990302
2025-05-04,19.34,20.46,18.05,0.03,72.17,4.47,19.962857142857143,19.411666666666665,0.7416359009131169,-1.1211589798186712
2025-05-05,20.85,23.67,18.24,0.0,62.81,3.67,20.25,19.476666666666667,0.6122635598057689,-0.33319978665255695
2025-05-06,22.03,25.51,19.33,0.0,56.57,3.02,20.555714285714288,19.544666666666668,0.8788032988641802,0.2868382704565818
2025-05-07,22.26,25.13,19.91,0.0,64.17,3.59,20.77,19.633666666666667,1.093556887713651,0.39303734962360715
2025-05-08,22.62,25.53,19.66,0.0,65.0,3.71,21.075714285714287,19.667333333333335,1.2818847730696517,0.5912230023806843
2025-05-09,23.6,27.04,20.47,0.0,67.87,3.0,21.48,19.825333333333333,1.5808120276193112,1.0563148263405897
2025-05-10,24.03,28.49,21.22,0.0,66.07,3.52,22.104285714285716,20.075,1.604980344041957,1.1946175643169181
2025-05-11,26.08,29.46,22.08,0.0,48.55,3.33,23.06714285714286,20.384999999999998,1.6897308886889308,2.159551975882604
2025-05-12,22.7,24.87,21.21,0.0,67.68,6.34,23.33142857142857,20.562333333333335,1.4060159858194814,0.26711815011039236
2025-05-13,24.29,29.23,21.31,0.0,60.26,4.61,23.654285714285717,20.79433333333333,1.3138221232067546,1.0739104851427388
2025-05-14,22.04,24.29,20.09,0.0,68.24,5.38,23.62285714285714,20.950333333333333,1.35472893088965,-0.22082426331505478
2025-05-15,20.87,23.61,19.2,0.0,65.48,3.4,23.372857142857146,21.035,1.6905000669001597,-0.9864626413064977
2025-05-16,22.3,26.38,19.32,0.0,63.92,5.3,23.187142857142856,21.166333333333334,1.7322789833596282,-0.18428947185529485
2025-05-17,24.54,29.18,21.47,0.0,61.89,5.08,23.259999999999998,21.331,1.7836012259841927,1.1507643137863055
2025-05-18,22.45,24.45,20.85,0.0,77.64,5.53,22.74142857142857,21.416666666666668,1.2850866192777297,-0.20671689659358444
2025-05-19,21.46,23.58,19.92,0.0,68.98,5.21,22.564285714285717,21.461666666666662,1.3741282951120821,-0.9764484561128384
2025-05-20,21.44,23.86,19.18,0.0,64.91,5.25,22.157142857142855,21.509333333333334,1.1870792487682764,-1.217896985048983
2025-05-21,21.44,23.52,19.59,0.0,69.47,4.5,22.071428571428573,21.554333333333336,1.2182012500869503,-1.3563493420468866
2025-05-22,22.75,25.41,20.0,0.01,67.53,4.25,22.34,21.557333333333336,1.111770359981064,-0.3596676764039435
2025-05-23,24.06,27.36,20.67,0.0,63.6,4.92,22.59142857142857,21.641000000000002,1.286499495678103,0.6171218113298923
2025-05-24,24.28,27.55,20.94,0.03,69.57,3.79,22.554285714285715,21.806666666666665,1.22305433434536,0.7272288540701114
2025-05-25,24.94,28.51,21.52,0.09,67.5,2.78,22.91,21.986333333333334,1.514936742353409,1.1876362183041613
2025-05-26,25.41,31.65,22.22,0.21,63.68,5.35,23.474285714285713,22.183,1.6170328500355828,1.4863931455749217
2025-05-27,22.63,24.75,21.09,2.87,66.13,7.25,23.64428571428571,22.293666666666663,1.41780178613262,-0.5951386004691163
2025-05-28,22.77,25.13,20.41,0.0,61.52,5.77,23.834285714285716,22.424666666666667,1.133855621949944,-0.5397661247762853
2025-05-29,22.85,25.85,20.0,0.68,66.54,4.46,23.84857142857143,22.523333333333333,1.1184427950115314,-0.49423937654969696
2025-05-30,23.16,26.45,20.65,0.41,64.79,3.5,23.72,22.603333333333335,1.14157785542596,-0.3550780869733449
