,temperature,hour,day_of_week,month,is_weekend,month_sin,month_cos,lag_1,lag_24,lag_168,rolling_mean_24,rolling_std_24,rolling_mean_168,rolling_std_168
2022-09-17,10.86,0,5,9,1,-1.0,-1.8369701987210297e-16,11.64,22.25,2.63,17.70270833333333,1.9621200707656863,15.949315476190478,4.403978091636616
2022-09-18,11.97,0,6,9,1,-1.0,-1.8369701987210297e-16,10.86,18.12,3.47,17.228125,2.179821897640922,15.99830357142857,4.2994656690138875
2022-09-19,12.86,0,0,9,0,-1.0,-1.8369701987210297e-16,11.97,18.32,8.09,16.971875,2.4188017211636907,16.04889880952381,4.200015270345603
2022-09-20,13.8,0,1,9,0,-1.0,-1.8369701987210297e-16,12.86,18.9,10.52,16.744375,2.540213664626778,16.077291666666667,4.16183903436378
2022-09-21,15.03,0,2,9,0,-1.0,-1.8369701987210297e-16,13.8,17.88,9.68,16.531875,2.5652412432107914,16.096815476190475,4.143264876881338
2022-09-22,14.96,0,3,9,0,-1.0,-1.8369701987210297e-16,15.03,17.6,8.28,16.413125,2.566086435097498,16.128660714285715,4.114107264619464
2022-09-23,14.21,0,4,9,0,-1.0,-1.8369701987210297e-16,14.96,17.65,5.22,16.303124999999998,2.5695786376369334,16.168422619047618,4.0698397083252935
2022-09-24,12.79,0,5,9,1,-1.0,-1.8369701987210297e-16,14.21,17.8,5.3,16.159791666666667,2.587065854847711,16.221934523809526,3.983203354055502
2022-09-25,11.85,0,6,9,1,-1.0,-1.8369701987210297e-16,12.79,19.0,6.75,15.951041666666667,2.6503182660261686,16.26651785714286,3.9012990220642405
2022-09-26,12.39,0,0,9,0,-1.0,-1.8369701987210297e-16,11.85,19.18,10.02,15.653125000000001,2.6941852896562386,16.296875,3.8462588436122984
2022-09-27,10.19,0,1,9,0,-1.0,-1.8369701987210297e-16,12.39,19.03,11.55,15.370208333333332,2.6640662281095207,16.310982142857142,3.827398987779456
2022-09-28,9.82,0,2,9,0,-1.0,-1.8369701987210297e-16,10.19,19.63,11.94,15.001875,2.7459150737762017,16.302886904761902,3.8389499444191215
2022-09-29,9.99,0,3,9,0,-1.0,-1.8369701987210297e-16,9.82,19.32,12.75,14.593125,2.75715346772088,16.290267857142858,3.8568198504675575
2022-09-30,11.92,0,4,9,0,-1.0,-1.8369701987210297e-16,9.99,17.75,13.62,14.204374999999999,2.7191907813602993,16.273839285714285,3.8778114766279823
2022-10-01,14.53,0,5,10,1,-0.8660254037844386,0.5000000000000001,11.92,18.15,11.5,13.961458333333333,2.648155009569907,16.26372023809524,3.8869852701196117
2022-10-02,13.29,0,6,10,1,-0.8660254037844386,0.5000000000000001,14.53,16.8,11.02,13.810625,2.498051550491521,16.28175595238095,3.8717489023487244
2022-10-03,13.02,0,0,10,0,-0.8660254037844386,0.5000000000000001,13.29,16.57,10.32,13.664375,2.4168553555772956,16.295267857142857,3.8572098002044077
2022-10-04,16.09,0,1,10,0,-0.8660254037844386,0.5000000000000001,13.02,16.71,10.02,13.516458333333333,2.338662047432569,16.311339285714286,3.837739965900827
2022-10-05,15.47,0,2,10,0,-0.8660254037844386,0.5000000000000001,16.09,17.58,10.53,13.490625000000001,2.305034335545465,16.347470238095237,3.8066016952361506
2022-10-06,12.52,0,3,10,0,-0.8660254037844386,0.5000000000000001,15.47,17.265,10.97,13.402708333333335,2.179076878328691,16.376875000000002,3.780384199635829
2022-10-07,13.94,0,4,10,0,-0.8660254037844386,0.5000000000000001,12.52,16.95,10.74,13.204999999999998,2.02308846977135,16.386101190476193,3.768983702720902
2022-10-08,11.13,0,5,10,1,-0.8660254037844386,0.5000000000000001,13.94,16.46,11.98,13.079583333333332,1.8682018305606565,16.40514880952381,3.7483080185165094
2022-10-09,11.48,0,6,10,1,-0.8660254037844386,0.5000000000000001,11.13,14.31,11.09,12.857500000000002,1.7627060471603577,16.400089285714287,3.7548848213920474
2022-10-10,11.35,0,0,10,0,-0.8660254037844386,0.5000000000000001,11.48,11.64,9.08,12.739583333333334,1.7559599855960648,16.40241071428571,3.7517014492674328
2022-10-11,9.69,0,1,10,0,-0.8660254037844386,0.5000000000000001,11.35,10.86,9.08,12.727500000000001,1.7648309439914078,16.41592261904762,3.7291917956932825
2022-10-12,12.5,0,2,10,0,-0.8660254037844386,0.5000000000000001,9.69,11.97,8.28,12.67875,1.8334840023726848,16.419553571428573,3.7222969467772327
2022-10-13,13.06,0,3,10,0,-0.8660254037844386,0.5000000000000001,12.5,12.86,9.23,12.700833333333334,1.8277591808519096,16.444672619047623,3.6810504854743575
2022-10-14,11.29,0,4,10,0,-0.8660254037844386,0.5000000000000001,13.06,13.8,8.57,12.709166666666668,1.8289719532560196,16.46747023809524,3.647810720555698
2022-10-15,12.47,0,5,10,1,-0.8660254037844386,0.5000000000000001,11.29,15.03,10.02,12.604583333333332,1.8356351327482667,16.483660714285715,3.6184668352064864
2022-10-16,13.39,0,6,10,1,-0.8660254037844386,0.5000000000000001,12.47,14.96,10.42,12.497916666666667,1.7614494504999858,16.498244047619046,3.597134843705005
2022-10-17,14.31,0,0,10,0,-0.8660254037844386,0.5000000000000001,13.39,14.21,11.71,12.4325,1.6938950483376007,16.51592261904762,3.5743094739450245
2022-10-18,11.66,0,1,10,0,-0.8660254037844386,0.5000000000000001,14.31,12.79,11.7,12.436666666666666,1.6985739969717069,16.53139880952381,3.558971876265169
2022-10-19,13.45,0,2,10,0,-0.8660254037844386,0.5000000000000001,11.66,11.85,11.54,12.389583333333334,1.7040067339290053,16.531160714285715,3.55929835535031
2022-10-20,13.78,0,3,10,0,-0.8660254037844386,0.5000000000000001,13.45,12.39,13.17,12.456249999999999,1.7132522149916944,16.542529761904763,3.5462868747340868
2022-10-21,15.38,0,4,10,0,-0.8660254037844386,0.5000000000000001,13.78,10.19,14.33,12.514166666666666,1.7342807472104864,16.546160714285715,3.543124022143684
2022-10-22,14.55,0,5,10,1,-0.8660254037844386,0.5000000000000001,15.38,9.82,13.01,12.730416666666665,1.7553235281297392,16.552410714285717,3.540116162934499
2022-10-23,15.81,0,6,10,1,-0.8660254037844386,0.5000000000000001,14.55,9.99,13.16,12.9275,1.6781828941110675,16.56157738095238,3.5328750374028814
2022-10-24,13.91,0,0,10,0,-0.8660254037844386,0.5000000000000001,15.81,11.92,13.31,13.17,1.6556018214849828,16.57735119047619,3.523500017444677
2022-10-25,13.43,0,1,10,0,-0.8660254037844386,0.5000000000000001,13.91,14.53,14.64,13.252916666666666,1.6400357344109833,16.58092261904762,3.520471169808002
2022-10-26,15.36,0,2,10,0,-0.8660254037844386,0.5000000000000001,13.43,13.29,13.07,13.207083333333335,1.6180167118142477,16.573720238095238,3.52569965864099
2022-10-27,16.03,0,3,10,0,-0.8660254037844386,0.5000000000000001,15.36,13.02,12.34,13.293333333333331,1.6767350952700284,16.58735119047619,3.516487297269079
2022-10-28,14.49,0,4,10,0,-0.8660254037844386,0.5000000000000001,16.03,16.09,13.55,13.418750000000001,1.7656168093307654,16.609315476190474,3.5012903064525203
2022-10-29,15.47,0,5,10,1,-0.8660254037844386,0.5000000000000001,14.49,15.47,14.02,13.352083333333333,1.6889100657361762,16.614910714285717,3.4971206921827607
2022-10-30,13.34,0,6,10,1,-0.8660254037844386,0.5000000000000001,15.47,12.52,14.23,13.352083333333333,1.6889100657361762,16.623541666666668,3.4924642722387587
2022-10-31,13.98,0,0,10,0,-0.8660254037844386,0.5000000000000001,13.34,13.94,16.17,13.386250000000002,1.6796138596092114,16.61824404761905,3.496789037790897
2022-11-01,12.8,0,1,11,0,-0.5000000000000004,0.8660254037844384,13.98,11.13,17.17,13.38791666666667,1.6802069726716826,16.605208333333334,3.5025473772655737
2022-11-02,11.7,0,2,11,0,-0.5000000000000004,0.8660254037844384,12.8,11.48,15.39,13.457499999999998,1.6159860363150622,16.57919642857143,3.5145343355721024
2022-11-03,10.52,0,3,11,0,-0.5000000000000004,0.8660254037844384,11.7,11.35,15.63,13.466666666666669,1.6048666927347344,16.557232142857146,3.5334901051272856
2022-11-04,7.71,0,4,11,0,-0.5000000000000004,0.8660254037844384,10.52,9.69,12.98,13.432083333333333,1.660442526574774,16.526815476190478,3.563386854654803
2022-11-05,9.06,0,5,11,1,-0.5000000000000004,0.8660254037844384,7.71,12.5,13.78,13.349583333333333,1.8880435679540875,16.49544642857143,3.6175811893837997
2022-11-06,12.29,0,6,11,1,-0.5000000000000004,0.8660254037844384,9.06,13.06,15.47,13.206249999999999,2.07651424580799,16.46735119047619,3.656911139133608
2022-11-07,12.81,0,0,11,0,-0.5000000000000004,0.8660254037844384,12.29,11.29,13.81,13.174166666666666,2.0848040605808835,16.44842261904762,3.6703099177289995
2022-11-08,12.78,0,1,11,0,-0.5000000000000004,0.8660254037844384,12.81,12.47,12.23,13.237500000000002,2.0478371411129808,16.44247023809524,3.6754217647515577
2022-11-09,10.7,0,2,11,0,-0.5000000000000004,0.8660254037844384,12.78,13.39,12.97,13.250416666666666,2.0437592795516966,16.445744047619048,3.6718903761000306
2022-11-10,12.28,0,3,11,0,-0.5000000000000004,0.8660254037844384,10.7,14.31,15.36,13.138333333333334,2.1085079551904697,16.432232142857142,3.688894312011138
2022-11-11,12.34,0,4,11,0,-0.5000000000000004,0.8660254037844384,12.28,11.66,14.44,13.05375,2.100163166538972,16.41389880952381,3.7018858046483807
2022-11-12,10.8,0,5,11,1,-0.5000000000000004,0.8660254037844384,12.34,13.45,12.24,13.082083333333332,2.0850752862367843,16.40139880952381,3.7121222332688677
2022-11-13,10.55,0,6,11,1,-0.5000000000000004,0.8660254037844384,10.8,13.78,10.47,12.971666666666666,2.134329477573841,16.39282738095238,3.72343386840956
2022-11-14,10.58,0,0,11,0,-0.5000000000000004,0.8660254037844384,10.55,15.38,10.91,12.837083333333334,2.182436769673576,16.39330357142857,3.7226769000951547
2022-11-15,9.57,0,1,11,0,-0.5000000000000004,0.8660254037844384,10.58,14.55,11.61,12.637083333333335,2.159082895415414,16.391339285714285,3.7256733697210387
